NAME;AUTHOR;VERSION;HARDWARE;DATE;DESCRIPTION;FILES_FOLDERS
{"en":"ECU Turbine Telemetry", "cz":"ECU Turbine Telemetry","de":"ECU Turbine Telemetry","fr":"ECU Turbine Telemetry"};Thomas Ekdahl;"2.7";678,679;23-04-2022;{"en":"ecu/docs/en.html", "cz":"ecu/docs/en.html","de":"ecu/docs/en.html","fr":"ecu/docs/en.html"};ecu.lc,ecu;logo.png
{"en":"Speed Warnings", "cz":"Speed Warnings","de":"Speed Warnings","fr":"Speed Warnings"};Thomas Ekdahl;"0.2";674,675,676,677,678,679;17-03-2018;{"en":"speedwar/docs/en.html", "cz":"speedwar/docs/en.html","de":"speedwar/docs/en.html","fr":"speedwar/docs/en.html"};speedwar.lua;logo.png
{"en":"Fullstop", "cz":"Fullstop","de":"Fullstop","fr":"Fullstop"};Thomas Ekdahl;"0.1";674,675,676,677,678,679;23-04-2022;{"en":"fullstopp/docs/en.html", "cz":"fullstopp/docs/en.html","de":"fullstopp/docs/en.html","fr":"fullstopp/docs/en.html"};fullstopp.lua;logo.png
